Date,Open,High,Low,Close,Volume
2/1/1985,0.1445,0.1504,0.1406,0.1426,121689600
3/1/1985,0.1426,0.1484,0.1309,0.1367,93465600
4/1/1985,0.1367,0.168,0.1289,0.1543,208448000
5/1/1985,0.1562,0.1836,0.1562,0.1738,225062400
6/3/1985,0.1738,0.1777,0.1523,0.168,165734400
7/1/1985,0.168,0.1836,0.1641,0.1758,182342400
8/1/1985,0.1758,0.1973,0.1738,0.1953,189760000
9/3/1985,0.1953,0.2129,0.1777,0.209,164947200
10/1/1985,0.209,0.2305,0.2051,0.2109,338828800
11/1/1985,0.2109,0.2168,0.1875,0.207,165196800
12/2/1985,0.207,0.2266,0.1973,0.2207,190195200
1/2/1986,0.2207,0.2656,0.2129,0.2637,624224000
2/3/1986,0.2637,0.2754,0.2539,0.2559,334777600
3/3/1986,0.2559,0.291,0.2441,0.2832,564608000
4/1/1986,0.2832,0.2832,0.2441,0.252,455232000
5/1/1986,0.252,0.2793,0.2383,0.2734,224198400
6/2/1986,0.2734,0.3203,0.2578,0.3047,476416000
7/1/1986,0.3047,0.3164,0.2129,0.2188,444038400
8/1/1986,0.2188,0.248,0.2109,0.2285,294291200
9/2/1986,0.2285,0.2344,0.1621,0.166,343833600
10/1/1986,0.166,0.2363,0.1621,0.2285,535168000
11/3/1986,0.2285,0.248,0.1992,0.2188,574054400
12/1/1986,0.2188,0.2266,0.1777,0.1836,345299200
1/2/1987,0.1836,0.2031,0.1797,0.1934,344736000
2/2/1987,0.1934,0.2344,0.1914,0.2344,285523200
3/2/1987,0.2344,0.2949,0.2188,0.2832,936428800
4/1/1987,0.2832,0.2852,0.2461,0.2617,375033600
5/1/1987,0.2617,0.2676,0.2344,0.2637,327321600
6/1/1987,0.2637,0.2988,0.2539,0.2637,340192000
7/1/1987,0.2637,0.3438,0.2617,0.334,529984000
8/3/1987,0.332,0.3535,0.3125,0.3359,294572800
9/1/1987,0.3359,0.3867,0.3086,0.373,484953600
10/1/1987,0.373,0.3809,0.2188,0.2617,583648000
11/2/1987,0.2617,0.2793,0.2383,0.2441,276185600
12/1/1987,0.2441,0.3262,0.2324,0.3047,234579200
1/4/1988,0.3047,0.3145,0.2695,0.2773,300352000
2/1/1988,0.2773,0.3594,0.2773,0.332,347065600
3/1/1988,0.332,0.4141,0.3301,0.3477,1000518400
4/4/1988,0.3477,0.3965,0.3359,0.3926,409478400
5/2/1988,0.3926,0.4004,0.3438,0.3789,290284800
6/1/1988,0.3789,0.4551,0.3613,0.4453,426214400
7/1/1988,0.4453,0.4453,0.3848,0.3984,250963200
8/1/1988,0.3984,0.416,0.3672,0.3965,271635200
9/1/1988,0.3965,0.4785,0.3867,0.4609,668224000
10/3/1988,0.4609,0.5371,0.4531,0.5,442604800
11/1/1988,0.5,0.5273,0.416,0.4434,746144000
12/1/1988,0.4434,0.457,0.3809,0.4141,701600000
1/3/1989,0.4141,0.4883,0.3945,0.4727,576480000
2/1/1989,0.4727,0.5195,0.457,0.4688,331891200
3/1/1989,0.4688,0.5391,0.4629,0.5254,429273600
4/3/1989,0.5254,0.5898,0.5234,0.5723,309766400
5/1/1989,0.5723,0.6211,0.5664,0.5938,360524800
6/1/1989,0.5938,0.7129,0.5938,0.6367,649830400
7/3/1989,0.6367,0.7246,0.6289,0.7246,589273600
8/1/1989,0.7246,0.8145,0.709,0.8145,400832000
9/1/1989,0.8145,1.0723,0.7988,1.0391,870624000
10/2/1989,1.0332,1.082,0.8984,0.9609,596755200
11/1/1989,0.9609,0.9922,0.8906,0.9219,598048000
12/1/1989,0.9219,0.9297,0.7383,0.832,660038400
1/2/1990,0.832,0.8906,0.7617,0.7891,425548800
2/1/1990,0.7891,0.8867,0.75,0.8867,363891200
3/1/1990,0.8867,1.1055,0.8555,1.0586,532960000
4/2/1990,1.0586,1.1094,1.0195,1.0742,404140800
5/1/1990,1.0742,1.2969,1.0742,1.2266,663059200
6/1/1990,1.2266,1.2617,1.1035,1.1992,682073600
7/2/1990,1.1992,1.498,1.1953,1.3438,890694400
8/1/1990,1.3438,1.3652,0.918,1.0234,1134304000
9/4/1990,1.0234,1.1875,0.9023,0.9766,829804800
10/1/1990,0.9883,1.0645,0.8125,0.8594,631299200
11/1/1990,0.8594,1.1406,0.8516,1.0664,339987200
12/3/1990,1.0781,1.2578,1.0781,1.2578,319862400
1/2/1991,1.2578,1.4922,1.1016,1.4922,312700800
2/1/1991,1.4922,1.6836,1.3594,1.5,350992000
3/1/1991,1.5,1.7031,1.3672,1.4414,298153600
4/1/1991,1.4414,1.5703,1.332,1.4844,325849600
5/1/1991,1.4844,1.543,1.1914,1.2422,427395200
6/3/1991,1.2422,1.3047,1.0977,1.1289,269865600
7/1/1991,1.1289,1.3711,1.1094,1.3633,305676800
8/1/1991,1.3633,1.5625,1.3203,1.5586,297798400
9/3/1991,1.5586,1.707,1.4805,1.6914,233571200
10/1/1991,1.6914,1.7656,1.5469,1.7266,245801600
11/1/1991,1.7344,1.9609,1.707,1.8398,212531200
12/2/1991,1.8242,2.3672,1.7891,2.2617,190147200
1/2/1992,2.2188,2.4219,2.1719,2.3008,217632000
2/3/1992,2.3086,2.418,2.1133,2.2812,133628800
3/2/1992,2.2891,2.3398,2.0391,2.1055,187868800
4/1/1992,2.0938,2.2422,1.8359,1.957,254089600
5/1/1992,1.9648,2.0625,1.7734,1.8125,213974400
6/1/1992,1.8164,1.9609,1.7188,1.9414,173187200
7/1/1992,1.9453,2.2578,1.8672,2.2422,199916800
8/3/1992,2.2344,2.2891,2.1406,2.2617,115926400
9/1/1992,2.2617,2.5117,2.2383,2.4844,185708800
10/1/1992,2.4766,2.4844,2.3164,2.4336,165008000
11/2/1992,2.4414,2.8203,2.4414,2.6953,158806400
12/1/1992,2.6914,2.8125,2.5938,2.5938,187875200
1/4/1993,2.6016,2.7344,2.457,2.5508,163939200
2/1/1993,2.5742,2.7891,2.0156,2.2539,242966400
3/1/1993,2.2539,2.4844,2.2031,2.3945,201001600
4/1/1993,2.3906,2.3945,2.1172,2.1328,189539200
5/3/1993,2.1406,2.4141,2.1328,2.2656,178752000
6/1/1993,2.2734,2.3359,1.6914,1.7227,351235200
7/1/1993,1.7188,1.8125,1.6797,1.7578,269680000
8/2/1993,1.7656,1.7969,1.543,1.6836,224012800
9/1/1993,1.6797,1.6992,1.3516,1.4062,355500800
10/1/1993,1.4062,1.5469,1.3984,1.5117,244019200
11/1/1993,1.5117,1.6992,1.4922,1.4961,234256000
12/1/1993,1.5078,1.5195,1.3477,1.4453,334928000
1/3/1994,1.4492,1.6523,1.4453,1.5625,267929600
2/1/1994,1.5703,1.625,1.5273,1.6172,167766400
3/1/1994,1.6094,1.8242,1.5781,1.6562,292531200
4/4/1994,1.6406,1.8359,1.6328,1.6758,163824000
5/2/1994,1.6836,1.9336,1.6562,1.8438,189664000
6/1/1994,1.8359,1.8984,1.7578,1.8672,165734400
7/1/1994,1.8711,1.9961,1.8203,1.9219,186275200
8/1/1994,1.9297,2.082,1.9219,2.0117,192736000
9/1/1994,2.0195,2.0742,1.8164,1.8516,171929600
10/3/1994,1.8516,1.9648,1.8164,1.9023,86121600
11/1/1994,1.8984,2.041,1.8555,1.9961,119628800
12/1/1994,2,2.3906,1.9883,2.332,218908800
1/3/1995,2.3125,2.3125,2.1797,2.2188,171318400
2/1/1995,2.2031,2.3125,2.1484,2.2461,154931200
3/1/1995,2.2461,2.4375,2.2383,2.3438,248832000
4/3/1995,2.3359,2.4023,2.2148,2.3945,208822400
5/1/1995,2.3867,2.5195,2.3789,2.4648,161600000
6/1/1995,2.4609,2.6758,2.4414,2.625,160800000
7/3/1995,2.6172,2.8984,2.6016,2.8242,168070400
8/1/1995,2.832,3.0234,2.7891,2.8945,179542400
9/1/1995,2.8945,3.5469,2.832,3.4727,277667200
10/2/1995,3.4766,3.6484,3.3633,3.5391,173388800
11/1/1995,3.5312,3.9141,3.5,3.625,139150400
12/1/1995,3.625,4.3984,3.6172,4.3516,152985600
1/2/1996,4.2969,4.4609,3.9766,4.3594,166953600
2/1/1996,4.1719,4.3125,3.9688,4.0625,193336000
3/1/1996,4.0859,5.3672,4.0859,5.0781,240600000
4/1/1996,5.0781,5.9141,4.8594,5.4688,219643200
5/1/1996,5.4766,6.5078,5.4688,6.2734,207619200
6/3/1996,6.2656,6.7422,6.0781,6.4219,137120000
7/1/1996,6.4297,6.9062,5.9844,6.4297,263596800
8/1/1996,6.4453,6.9531,6.4453,6.75,132184000
9/3/1996,6.6484,7.8438,6.6172,7.6094,207443200
10/1/1996,7.625,8,7.1875,7.3906,195209600
11/1/1996,7.4219,7.4844,6.4531,7.1094,360784008
12/2/1996,7.125,7.8438,6.4375,7.5,241409616
1/2/1997,7.4688,8.6562,7.2344,8.5469,235088000
2/3/1997,8.5156,9.5469,7.8906,8.9844,197195200
3/3/1997,8.8438,9.1406,7.6719,7.7344,330712784
4/1/1997,7.7188,7.9062,6.4062,7.0312,590005632
5/1/1997,7.0781,8.3125,6.7188,7.1875,652409632
6/2/1997,7.2188,7.7656,6.8594,7.2969,346074400
7/1/1997,7.2656,8.0156,6.9531,7.8281,323491216
8/1/1997,7.7578,7.875,6.5859,6.6719,313790384
9/2/1997,6.8047,7.0625,6.5469,6.625,335854392
10/1/1997,6.6641,6.7188,5.625,5.8906,332632000
11/3/1997,5.9922,6.4141,5.7812,6.0859,186445600
12/1/1997,6.1172,6.2578,4.7188,4.8828,402532800
1/2/1998,4.9062,5.4141,4.8594,5.0078,246700000
2/2/1998,5.0391,5.9375,4.9688,5.4844,384157568
3/2/1998,5.4844,5.9531,5.3438,5.5312,264640800
4/1/1998,5.5312,6.0938,5.3594,5.9688,209955200
5/1/1998,5.9844,6.0938,5.6562,5.75,125297600
6/1/1998,5.7188,6.2422,5.4219,6.0859,132468000
7/1/1998,6.3438,6.5859,5.4922,5.5625,221866416
8/3/1998,5.5469,5.6562,4.3281,4.3359,206505600
9/1/1998,4.3203,5.25,3.875,4.6016,218813600
10/1/1998,4.5312,5.6094,4.4375,5.4219,139511200
11/2/1998,5.4375,5.9531,4.9141,5,171960000
12/1/1998,4.9375,5.2969,4.3594,5.0703,229684000
1/4/1999,5.0703,5.7344,4.8438,5.6875,190421600
2/1/1999,6,6.875,5.7109,6.6797,190380800
3/1/1999,6.5938,7.9375,6.25,7.2109,309294408
4/1/1999,7.2109,8.0938,6.8359,7.7734,177753600
5/3/1999,7.7578,8.3672,7.2656,7.6172,157863200
6/1/1999,7.5859,8.125,6.7891,7.9219,188289600
7/1/1999,7.6406,7.7031,6.4688,6.5,227159200
8/2/1999,6.4844,6.8203,5.7734,5.8438,160040000
9/1/1999,5.7812,7.2266,5.7812,7.1094,221071200
10/1/1999,7.0781,7.4062,6.6641,7,148224000
11/1/1999,6.9688,7.0469,5.5078,5.75,237245600
12/1/1999,5.7188,6.9844,4.9766,6.1953,235784016
1/3/2000,6.1641,6.6875,5.6719,5.6875,141956000
2/1/2000,5.6797,6.0625,3.3125,3.5547,397485584
3/1/2000,3.5547,5,3.2266,4.9531,325241600
4/3/2000,5.125,5.7344,4.5469,5.4297,187183200
5/1/2000,5.4297,5.8906,4.7344,5.3594,145275200
6/1/2000,5.3906,5.6094,4.3516,4.9766,148572800
7/3/2000,5.125,5.9688,4.9688,5.4688,117884000
8/1/2000,5.4688,6.0625,4.9453,4.9453,187424800
9/1/2000,5.0469,5.2422,4.4375,5.0078,227430400
10/2/2000,5.0078,5.4375,4.3672,4.9922,181374400
11/1/2000,4.9609,5.6172,4.8906,5.3281,135044000
12/1/2000,5.3438,7.125,5.0312,6.9766,242410400
1/2/2001,6.8438,7.5078,6.3438,6.8775,307727200
2/1/2001,6.875,7.1875,4.6825,4.8812,310132016
3/1/2001,4.8875,5.1738,4.4375,5.0687,227744800
4/2/2001,5.0625,5.2562,4.5375,5.2263,198206400
5/1/2001,5.15,5.7175,4.7812,5.1375,202687200
6/1/2001,5.15,5.625,5.0625,5.2488,221978408
7/2/2001,5.225,6.0125,5.0412,5.9437,198777600
8/1/2001,5.9088,6.475,5.8075,6.25,186445600
9/4/2001,6.2812,6.5,5.0938,5.8513,242135216
10/1/2001,5.8475,6.37,5.7687,6.17,247352800
11/1/2001,6.075,6.8037,5.9562,6.6238,179063200
12/3/2001,6.6225,7.3037,6.25,7.03,308527192
1/2/2002,7.04,7.6312,6.825,7.4887,256148800
2/1/2002,7.4813,7.58,7.0912,7.3575,171952000
3/1/2002,7.35,8.035,7.1312,7.5012,258656016
4/1/2002,7.45,7.45,6.6,6.6662,276448000
5/1/2002,6.6125,7.0525,6.5,6.7188,227011200
6/3/2002,6.7088,7.0375,6.0275,6.7062,283722416
7/1/2002,6.7938,7.2313,5.6375,6.1612,339608800
8/1/2002,6.0625,6.0625,5.0625,5.3975,407543984
9/3/2002,5.35,5.715,5.0438,5.3975,274512800
10/1/2002,5.3987,6.0287,4.8163,5.8987,302508000
11/1/2002,5.8937,6.025,5.3537,5.5975,245724000
12/2/2002,5.75,5.8913,5.1487,5.5587,267160016
1/2/2003,5.5713,6.0537,5.315,5.5675,209041600
2/3/2003,5.5812,5.8726,5.2975,5.7962,197583200
3/3/2003,5.8125,6.675,5.6887,6.4275,328338400
4/1/2003,6.4375,6.9575,6.2825,6.6913,218646400
5/1/2003,6.7162,7.07,6.4375,6.9988,230232000
6/2/2003,7.0062,7.1875,6.575,6.6863,327826400
7/1/2003,6.6863,6.808,6.2825,6.4675,225903200
8/1/2003,6.4375,7.1338,6.2,7.1225,184159200
9/2/2003,7.1325,7.7812,6.8838,7.6025,261523184
10/1/2003,7.6,8.1162,7.5875,7.9875,238664800
11/3/2003,7.9875,8.435,7.5862,8.4062,239918800
12/1/2003,8.4313,8.5675,7.9025,8.5575,265876000
1/2/2004,8.5875,8.8275,8.2888,8.7075,184354400
2/2/2004,8.7,9.325,8.69,9.1562,171486400
3/1/2004,9.2125,9.82,9.0275,9.7338,291137608
4/1/2004,9.7275,9.82,8.9138,8.9938,200372800
5/3/2004,8.9725,8.9875,8.2263,8.8937,256347200
6/1/2004,8.8975,9.6675,8.66,9.4688,200643984
7/1/2004,9.4737,9.515,8.6625,9.0888,199154400
8/2/2004,9.09,9.6125,8.5762,9.4138,163166400
9/1/2004,9.375,10.0025,9.315,9.85,223154400
10/1/2004,9.875,10.2438,9.5775,10.1638,202959200
11/1/2004,10.1325,10.975,10.0875,10.5825,223926416
12/1/2004,10.6,11.5537,10.6,11.3362,199077608
1/3/2005,11.325,11.4175,10.5875,10.8287,154792000
2/1/2005,10.8287,10.9863,10.325,10.8688,209338400
3/1/2005,10.8788,11.065,10.18,10.4138,312574408
4/1/2005,10.485,10.53,9.3875,9.6013,249906400
5/2/2005,9.6013,10.465,9.475,10.275,236075200
6/1/2005,10.2875,11.3662,10.2613,10.825,326438416
7/1/2005,10.7713,11.0625,10.4287,10.475,238434400
8/1/2005,10.4763,11.125,9.67,9.8637,356392008
9/1/2005,9.8637,10.6562,9.5663,10.21,496377576
10/3/2005,10.26,10.54,9.9925,10.5062,261752000
11/1/2005,10.5,11.0687,10.4287,10.6625,213472000
12/1/2005,10.7188,11.4425,10.4688,10.8487,354734424
1/3/2006,10.8487,11.02,10.075,10.1188,347506376
2/1/2006,10.1562,10.9787,10.1513,10.8475,252378392
3/1/2006,10.8312,11.005,10.5038,10.6375,318509608
4/3/2006,10.6375,10.7325,10.045,10.23,206518400
5/1/2006,10.2538,10.3875,9.6738,10.0388,267026400
6/1/2006,10.0512,10.6212,9.8625,10.125,326368008
7/3/2006,10.1312,10.2188,9.75,9.875,315201600
8/1/2006,9.875,10.1188,9.44,10.095,421105600
9/1/2006,10.095,11.1137,9.9825,10.9525,450939200
10/2/2006,10.8712,11.7588,10.8637,11.485,260692800
11/1/2006,11.5125,12.4125,11.3225,12.3688,213671200
12/1/2006,12.3375,12.65,11.8487,12.3788,258739208
1/3/2007,12.25,12.5438,11.865,12.3513,273165600
2/1/2007,12.3275,13.6125,12.305,13.0587,283551512
3/1/2007,12.8875,13.7625,12.7713,13.2825,329252544
4/2/2007,13.35,13.775,13.2,13.465,203457740
5/1/2007,13.465,14.28,13.085,14.1875,259547440
6/1/2007,14.1875,14.815,12.9675,14.5725,389009576
7/2/2007,14.675,15.0875,13.86,14.1125,319916296
8/1/2007,14.3025,14.6575,13,14.085,346502348
9/4/2007,14.01,15.2475,13.5375,14.665,291060200
10/1/2007,14.6975,16.6425,14.65,16.565,353233236
11/1/2007,16.485,16.5475,15.2275,16.4125,233029764
12/3/2007,16.2375,16.9825,15.56,16.06,233628900
1/2/2008,16.08,16.175,12.875,15.3325,419700700
2/1/2008,15.41,15.75,14.8775,15.05,240377084
3/3/2008,15.06,17.65,14.175,17,388730876
4/1/2008,17.15,17.5,16.2975,16.7,292852868
5/1/2008,16.7,17.22,16.02,17.0925,262828420
6/2/2008,17.0675,17.57,14.4075,14.9025,380945140
7/1/2008,14.9,15.1075,13.66,14.67,398802820
8/1/2008,14.605,16.2,14.4375,15.1525,239299188
9/2/2008,15.39,17,14.6175,16.725,429140716
10/1/2008,16.55,16.755,11.6175,14.4075,580016092
11/3/2008,14.3375,14.625,10.67,13.3125,379523068
12/1/2008,13.0675,14.3325,11.77,12.75,364406540
1/2/2009,12.7375,13.5,10.885,11.3125,280091364
2/2/2009,11.1425,12.28,10.02,10.3825,289730888
3/2/2009,10.2075,12.0725,9.56,11.7225,412895968
4/1/2009,11.545,14.074,11.41,13.1175,287050576
